label,message
ham,Hey there! Are we still on for dinner tonight?
ham,Can you send me the notes from today's class?
ham,Don't forget to bring the charger tomorrow.
spam,Free entry in a weekly competition to win brand new phones.
spam,You have won 2000 points. Claim your prize now!
ham,I'll meet you at the library after lunch.
spam,URGENT! Your account has been suspended. Update now.
ham,Do you want to join the study group this weekend?
spam,Congratulations! Click here to claim your reward.
ham,Please call me when you get a chance.
spam,Win a free trip to Paris with just one click.
ham,The meeting is moved to 3 PM on Friday.
spam,You have been selected for a cash bonus. Reply YES.
ham,I made the changes in the document you sent.
spam,Lowest rates available. Refinance today and save.
ham,Can you pick up some milk on your way home?
spam,Lottery winner! Send your bank details immediately.
ham,Tonight's game starts at 8 PM on channel 10.
spam,This is not spam. Reply to confirm your free gift.
ham,The movie tickets are ready for pickup.
spam,Get your refund fast when you send your details.
ham,Did you finish the homework for math class?
spam,Exclusive offer! Buy one get one free now.
ham,Let's catch up over coffee this weekend.
spam,Claim your free subscription before it expires.
ham,I uploaded the file to the shared folder.
spam,You have a voice message waiting. Check it now.
ham,My phone died earlier, sorry I missed your call.
spam,Act now to save 50% on your next purchase.
ham,Happy birthday! Hope you have a great day.
spam,Important notice about your payment details.
ham,The train leaves at 7:15, don't be late.
spam,Limited time offer: earn money from home.
ham,Are you available for a quick chat later?
spam,Dear user, your subscription will expire soon.
ham,Thanks for the gift, I really appreciate it.
spam,Get instant access to this secret deal.
ham,Let's plan a weekend road trip soon.
spam,This one-time offer ends tonight. Reply now.
ham,Remember to submit your project before midnight.
spam,Free trial available for selected customers only.
ham,I'll send the schedule by email later today.
spam,Your order is ready for delivery. Confirm address.
ham,What time should I pick you up tomorrow?
spam,Save big with our exclusive coupon code.
ham,The weather looks nice for a walk later.
spam,Don't miss out on this limited free offer.
